Raw Serial Number,Commit Message,DEMPE Function Class
24,"Using scroll-utility@1, now use @2",Non-conventional
25,docs: add badge for npm downloads,3
26,test: fix creating `scrollManager` scope,3
27,chore: fix exports and update readme,3
28,docs(demo): improve demo,3
28,use new api,Non-conventional
28,docs(demo): add styled-components,3
28,docs(demo): improve rulers,3
28,docs(demo): add more ruler types,3
28,docs(demo): improve site generation,3
28,add prism,Non-conventional
28,docs(demo): remove some positioned elements,3
28,docs: improve positioning,3
28,docs(demo): improve styles,3
28,docs: improve styles,3
28,docs: improve grid responsiveness,3
28,docs: add basic set of buttons in topbar,3
28,docs: fix importing raw files,3
28,docs(wip): add more documentation,3
28,improve styles,Non-conventional
28,docs(wip): add CenterElement component,3
28,fix: use new api,3
28,docs(wip): refactor demo,3
28,docs: improve demo,3
28,docs: wip improve demo,3
28,docs: improve demo,3
28,docs(demo): add rightbar,3
28,docs: move most styles to css,3
29,test: update tests to new api,3
29,test: use new api,3
30,refactor: improve engine,1
30,refactor: add PartialRecursive for Settings,1
30,types thanks to Daniel Perez Alvarez <daniel@protonmail.com>,Non-conventional
30,refactor: add default settings file,1
30,refactor: remove value from Options,1
30,refactor: export (default) `windowScrollManager`,1
30,`windowScrollManager` its usually prefer ed to scroll,Non-conventional
30,fix: incorrectly handling shouldBe when out of limits,3
30,fix: minor problems,3
30,fix: incorrectly handling shouldBe when out of limits,3
31,readme: note that no longer maintained,Non-conventional
31,"Acknowledge that with UW-Madison's stepping away, this is now largely unmaintained.",Non-conventional
32,Merge pull request #1051 from nogalpaulina/activate-myuw-feedback-component,Non-conventional
32,Activate Feedback Web Component in header,Non-conventional
33,Activate Feedback Web Component in header,Non-conventional
34,chore(release):prepare for next development iteration,3
35,chore(release):prepare release uportal-app-framework-maven-21.0.4,3
36,Merge pull request #1050 from nogalpaulina/tooltip-style-adj,Non-conventional
36,Adjust height and line-height of the tooltip for better readability,Non-conventional
37,Adjust height and line-height of the tooltip for better readibility,Non-conventional
38,Merge pull request #1049 from nogalpaulina/tooltips-adjustments,Non-conventional
38,Adjust z-index and position of tooltips attached to header buttons,Non-conventional
39,Adjust z-index and position of tooltips attached to header buttons,Non-conventional
40,chore(release):prepare for next development iteration,3
41,chore(release):prepare release uportal-app-framework-maven-21.0.3,3
42,Merge pull request #1048 from nogalpaulina/myuw-feedback-v-update,Non-conventional
42,Update myuw-feedbback version,Non-conventional
43,Update myuw-feedbback version,Non-conventional
44,Merge pull request #1047 from nogalpaulina/myuw-help-v-update,Non-conventional
44,Updates  myuw-help to v.1.5.5,Non-conventional
45,Updates  to v.1.5.5,Non-conventional
46,Merge pull request #1046 from nogalpaulina/add-favorites-hover-style,Non-conventional
46,Revert removing border when hovering on Add To Home button,Non-conventional
47,Revert removing border when hovering on Add To Home button,Non-conventional
48,Merge pull request #1045 from nogalpaulina/fix-widget-less-2,Non-conventional
48,Fix mismatched closing curly braces,Non-conventional
49,Fix missmatched closing curly braces,Non-conventional
50,Merge pull request #1044 from uPortal-Project/fix-widget-less,Non-conventional
50,add missing } in widget.less,Non-conventional
51,add missing } in widget.less,Non-conventional
52,Merge pull request #1043 from nogalpaulina/update-myuw-versions,Non-conventional
52,Updates myuw-feedback and myuw-help versions,Non-conventional
53,Visual improvements for hover and focus effects on interactive elements,Non-conventional
54,Updates myuw-feedback and myuw-help versions,Non-conventional
55,Merge pull request #1042 from nogalpaulina/widget-action-focus-style,Non-conventional
55,Apply focus & hover style to widget action button,Non-conventional
56,Apply focus style to widget action button,Non-conventional
57,Merge pull request #1041 from nogalpaulina/apply-material-style-to-tooltips,Non-conventional
57,Make tooltips more readable by applying contrasting background,Non-conventional
58,Make tooltips more readible by applying contrasting background,Non-conventional
59,Merge pull request #1040 from nogalpaulina/update-profile-version,Non-conventional
59,Include lastName to be passed into myuw-login event listener,Non-conventional
60,Include lastName to be passed into myuw-login event listener,Non-conventional
61,refactor: remove unused field `ServiceWorkerMain::weak_factory_` (#46171),1
61,refactor: remove unused field ServiceWorkerMain::weak_factory_,1
61,"Added in a467d06, appears to have never been used",Non-conventional
62,refactor: remove unused method `ElectronBrowserContext::GetWeakPtr()` (#46170),1
62,* refactor: use forward declaration of MediaDeviceIDSalt in electron_browser_context.h,1
62,* refactor: remove unused #include from browser_context.h,1
62,* refactor: remove unused ElectronBrowserContext::GetWeakPtr(),1
62,last use removed in Aug 2020 by bac2f46,Non-conventional
63,refactor: use `= default` to define trivial destructors (#46165),1
63,refactor: use '= default' to define trivial destructors,1
64,build: Use windows src cache (#45881),4
64,build: use source cache on windows,4
65,refactor: reduce coupling in `electron::api::Protocol` (#46122),1
65,* refactor: decouple api::Protocol from ElectronBrowserContext,1
65,now they do not know about each other,Non-conventional
65,* refactor: make electron::api::ProtocolError private,1
65,* refactor: remove unused isolate arg in Protocol constructor,1
65,* refactor: use =default for trivial destructor,1
66,fix: remove `File.path` from types (#46005),3
67,fix: add missing `cpp_heap` to Node.js worker `CreateParams` (#46104),3
68,feat: add ffmpeg.dll to delay load configuration (#46151),0
68,feat: set ffmpeg.dll as a delay-loaded DLL,0
68,Updated the /DELAYLOAD linker config in BUILD.gn to set ffmpeg.dll,Non-conventional
68,as a delay-loaded DLL. This reduces startup overhead and prevents unnecessary,Non-conventional
68,"loading when ffmpeg-related functionality is not used (e.g., the browser process",Non-conventional
68,was unnecessarily loading it).,Non-conventional
69,refactor: use upstream `Widget::IsVisibleOnAllWorkspaces()` (#45887),1
69,* refactor: use upstream Widget::IsVisibleOnAllWorkspaces(),1
69,* chore: add to breaking changes,3
70,refactor: make URLPipeLoader private (#46113),1
70,Move the URLPipeLoader class into an anonymous namespace in,Non-conventional
70,electron_url_loader_factory.cc.,Non-conventional
71,refactor: Add `ElectronBrowserContext::BrowserContexts()` (#46089),1
71,* refactor: add ElectronBrowserContext::BrowserContexts(),1
71,* refactor: use ElectronBrowserContext::BrowserContexts() in ElectronBrowserMainParts::PostMainMessageLoopRun(),1
71,* refactor: use ElectronBrowserContext::BrowserContexts() in ElectronExtensionsBrowserClient::IsValidContext(),1
71,* refactor: use ElectronBrowserContext::BrowserContexts() in ElectronExtensionsBrowserClient::BroadcastEventToRenderers(),1
71,"* refactor: move PartitionKey, BrowserContextMap private",1
71,* refactor: add ElectronBrowserContext::IsValidContext(),1
71,decouple ElectronExtensionsBrowserClient from the internals of ElectronBrowserContext,Non-conventional
72,refactor: use base::NumberToString() (#46141),1
72,base::NumberToString() is slightly more efficient than,Non-conventional
72,"absl::StrFormat(""%u"").",Non-conventional
73,"refactor: remove ToV8(isolate, const char*) (#46108)",1
74,fix: APNS token ids are lowercase ASCII (#46101),3
75,fix: `webContents.print()` crash on Linux (#46087),3
76,build: combine pipewire patches (#46129),4
77,docs: use optional chaining for `app.dock` (#46119),3
77,docs: use optional chaining for app.dock,3
78,test: disable `parallel/test-worker-resource-limits` (#46105),3
78,test: disable parallel/test-worker-resource-limits,3
79,docs: fix code example in breaking-changes.md (#46093),3
80,build: fail for out of date patches on forks (#46080),4
81,chore: bump chromium to 136.0.7067.0 (main) (#46018),3
81,* chore: bump chromium in DEPS to 136.0.7066.0,3
81,* chore: bump chromium in DEPS to 136.0.7067.0,3
81,* 6325710: [LNA] Add Local Network Access permission type,Non-conventional
81,Refs https://chromium-review.googlesource.com/c/chromium/src/+/6325710,Non-conventional
81,* 6342514: Create frame mojo endpoints in renderer during window.open(),Non-conventional
81,Refs https://chromium-review.googlesource.com/c/chromium/src/+/6342514,Non-conventional
81,* 6344040: Create widget mojo endpoints in renderer process for window.open(),Non-conventional
81,Refs https://chromium-review.googlesource.com/c/chromium/src/+/6344040,Non-conventional
81,* chore: update patches,3
81,* 6349218: Move ExtensionService::install_directory() to ExtensionRegistrar,Non-conventional
81,Refs https://chromium-review.googlesource.com/c/chromium/src/+/6349218,Non-conventional
81,* 6349395: Move ExtensionService::extensions_enabled() to ExtensionRegistrar,Non-conventional
81,Refs https://chromium-review.googlesource.com/c/chromium/src/+/6349395,Non-conventional
81,* 6331510: Migrate views::Background class to ui::ColorVariant | https://chromium-review.googlesource.com/c/chromium/src/+/6331510,Non-conventional
81,* build: reorder set-cookie step https://github.com/electron/electron/pull/46091,4
81,---------,Non-conventional
81,Co-authored-by: electron-roller[bot] <84116207+electron-roller[bot]@users.noreply.github.com>,Non-conventional
81,Co-authored-by: David Sanders <dsanders11@ucsbalum.com>,Non-conventional
81,Co-authored-by: alice <alice@makenotion.com>,Non-conventional
82,test: fix `app.dock` for corrected type (#46110),3
82,test: fix app.dock for corrected type,3
83,docs: fix types of `app.dock` (#46073),3
84,build: move set chromium cookie before build tools step (#46091),4
84,build: move set cookie before build tools,4
85,refactor: add `ElectronBrowserContext::GetDefaultBrowserContext()` (#46065),1
85,* refactor: add ElectronBrowserContext::DestroyAllContexts(),1
85,Simpler semantics than previous implementation; also hides the,Non-conventional
85,"""default context must be destroyed last"" implementation detail.",Non-conventional
85,* refactor: add ElectronBrowserContext::GetDefaultBrowserContext(),1
85,"clearer semantics than everyone calling From("""", false)",Non-conventional
86,refactor: use `GetDefaultStoragePartition()` instead of `GetStoragePartition(nullptr)` (#46064),1
86,refactor: use GetDefaultStoragePartition(),1
86,Use GetDefaultStorageParition() instead of GetStoragePartition(nullptr),Non-conventional
86,"- It improves code uniformity, since we use get-default everywhere else",Non-conventional
86,- It's more readable,Non-conventional
86,"- It's marginally faster, since GetStoragePartition() has more steps",Non-conventional
86,Added in https://github.com/electron/electron/pull/28907/commits/49b0a1bf4a6c032d1788aac56c1e5eaa0f61e3d3,Non-conventional
87,fix: warning in file picker UI (#46067),3
88,chore: e patches all (#46068),3
89,perf: avoid redundant map lookup in ElectronBrowserContext::From() (#46044),1
89,perf: avoid redundant map lookup in ElectronBrowserContext::FromPath(),1
90,build: fix compound bash conditional in patchup (#46047),4
91,readme: reflect that no longer maintained.,Non-conventional
91,Unmaintained.,Non-conventional
92,Merge pull request #943 from uPortal-Project/self-aware-compact-mode,Non-conventional
92,Make modes and switching modes more discoverable,Non-conventional
93,Make modes and switching modes more discoverable,Non-conventional
94,chore(release):prepare for next development iteration,3
95,chore(release):prepare release uportal-home-parent-14.0.4,3
96,Changelog update for uPortal-app-framework 21.0.4 release (#942),Non-conventional
97,Merge pull request #939 from uPortal-Project/fix-build-on-snapshot,Non-conventional
97,build on frame 21.0.4-SNAPSHOT,Non-conventional
98,build on frame 21.0.4-SNAPSHOT,Non-conventional
98,"build on latest SNAPSHOT of uPortal-app-framework ( https://github.com/uPortal-Project/uportal-app-framework/blob/master/pom.xml#L27 ), so that latest snapshot of uPortal-home builds on latest snapshot of uPortal-app-framework so that an environment running uPortal-home latest snapshot is using the latest everything.",Non-conventional
99,chore(release):prepare for next development iteration,3
100,chore(release):prepare release uportal-home-parent-14.0.3,3
101,Improve accessibility of tabbing through widgets in compact mode (#938),Non-conventional
101,* Removes white border style when hovering over 'Add more to home' on compact layout,Non-conventional
101,* Removes unnecessary taindex from list items surrounding widgets,Non-conventional
101,* Adds tabindex to Add to home button as a fix for button being inaccessible in Firefox,Non-conventional
102,Removes white border style when hovering over 'Add more to home' on compact layout (#937),Non-conventional
103,chore(release):prepare for next development iteration,3
104,chore(release):prepare release uportal-home-parent-14.0.2,3
105,prep 14.0.2 release,Non-conventional
106,Merge pull request #936 from uPortal-Project/drop-duplicates-during-layout-migrate,Non-conventional
106,drop duplicate fnames when migrating layout from old layout backend,Non-conventional
107,drop duplicate fnames when migrating layout from old layout backend,Non-conventional
108,fix typo in dependency on latest framework snapshot,Non-conventional
109,changelog: style: no end period in version number,2
110,changelog: reflect today's 14.0.1 release,Non-conventional
111,chore(release):prepare for next development iteration,3
112,chore(release):prepare release uportal-home-parent-14.0.1,3
113,Merge pull request #935 from uPortal-Project/style,Non-conventional
113,style: address some eslint flagged issues in /layout/services.js,2
114,style: prefer AngularJS $log service over bare console log,2
114,https://eslint.org/docs/rules/no-console,Non-conventional
115,style: add trailing comma,2
115,appease eslint https://eslint.org/docs/rules/comma-dangle,Non-conventional
116,style: remove space after key,2
116,appease eslint https://eslint.org/docs/rules/key-spacing,Non-conventional
117,style: remove space before function parens,2
117,appease eslint https://eslint.org/docs/rules/space-before-function-paren,Non-conventional
118,style: remove block padding,2
118,appease eslint https://eslint.org/docs/rules/padded-blocks,Non-conventional
119,style: shorten too-long lines,2
119,appease eslint https://eslint.org/docs/rules/max-len,Non-conventional
120,style: prefer single quote rather than double quote,2
120,https://eslint.org/docs/rules/quotes,Non-conventional
121,chore(deps): update actions/checkout action to v4 (#950),3
121,Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>,Non-conventional
122,docs: Add link to commit-and-tag-version as per #919 (#930),3
123,chore(master): release 9.5.0 (#867),3
123,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
124,feat(deprecated): add deprecation message (#907),0
125,fix(deps): update dependency conventional-changelog-conventionalcommits to v4.6.3 (#866),3
125,Co-authored-by: Renovate Bot <renovate@whitesourcesoftware.com>,Non-conventional
125,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
126,fix(deps): update dependency conventional-changelog to v3.1.25 (#865),3
126,Co-authored-by: Renovate Bot <renovate@whitesourcesoftware.com>,Non-conventional
127,chore(master): release 9.4.0 (#864),3
127,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
127,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
128,build: run tests on label,4
129,feat: add .cjs config file (#717),0
129,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
130,build: update publish configuration,4
131,test: updates .gitignore test to check against a default package and bump file found in the gitignore (#841),3
132,"chore: Move to native fs.access, removes fs-access package. (#840)",3
132,closes #793,Non-conventional
133,fix: Ensures provided `packageFiles` arguments are merged with `bumpFiles` when no `bumpFiles` argument is specified (default). (#534),3
133,- Merges `packageFiles` with `defaults.bumpFiles` before merging in arguments when a `packageFile` argument is present.,Non-conventional
133,"- Adds some simple ""validation"" to updaters and improves error messaging.",Non-conventional
133,- Adds a test case covering #533,Non-conventional
133,closes #533,Non-conventional
134,chore(deps): update dependency eslint-plugin-promise to v5 (#745),3
134,Co-authored-by: Renovate Bot <bot@renovateapp.com>,Non-conventional
135,test: adds basic coverage for --preset flag and CHANGELOG output (#723),3
135,closes #720,Non-conventional
136,chore: release 9.3.2 (#836),3
136,Co-authored-by: release-please[bot] <55107282+release-please[bot]@users.noreply.github.com>,Non-conventional
137,fix(deps): update dependency conventional-changelog-conventionalcommits to v4.6.1 (#752),3
137,Co-authored-by: Renovate Bot <renovate@whitesourcesoftware.com>,Non-conventional
138,chore(deps): update codecov/codecov-action action to v2 (#784),3
138,Co-authored-by: Renovate Bot <bot@renovateapp.com>,Non-conventional
139,chore: release 9.3.1 (#781),3
139,Co-authored-by: release-please[bot] <55107282+release-please[bot]@users.noreply.github.com>,Non-conventional
140,fix(updater): npm7 package lock's inner version not being updated (#713),3
141,chore: release 9.3.0 (#755),3
141,Co-authored-by: release-please[bot] <55107282+release-please[bot]@users.noreply.github.com>,Non-conventional
142,feat: add --lerna-package flag used to extract tags in case of lerna repo (#503),0
142,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
143,chore: release 9.2.0 (#736),3
143,Co-authored-by: release-please[bot] <55107282+release-please[bot]@users.noreply.github.com>,Non-conventional
144,feat: allows seperate prefixTag version sequences (#573),0
145,docs: Improve documentation on providing an empty tag-prefix (#579),3
145,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
145,Co-authored-by: Joe Bottigliero <694253+jbottigliero@users.noreply.github.com>,Non-conventional
145,fixes #490,Non-conventional
146,docs: Updated generate artifacts code snippet (#645),3
146,Co-authored-by: Joe Bottigliero <694253+jbottigliero@users.noreply.github.com>,Non-conventional
147,chore: Updates nyc and moves to Codecov (#701),3
147,chore(deps): Updates nyc and moves to Codecov,3
147,chore: Adds Codecov badge to README,3
147,ci: Updates test matrix to include NodeJS distributions across multiple OS.,4
148,chore: release 9.1.1 (#697),3
148,Co-authored-by: release-please[bot] <55107282+release-please[bot]@users.noreply.github.com>,Non-conventional
149,fix(deps): update dependency conventional-recommended-bump to v6.1.0 (#695),3
149,Co-authored-by: Renovate Bot <bot@renovateapp.com>,Non-conventional
150,fix(deps): update dependency yargs to v16 (#660),3
150,Co-authored-by: Renovate Bot <bot@renovateapp.com>,Non-conventional
151,chore: switch to non-deprecated GH action (#791),3
152,chore: release main (#790),3
152,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
153,fix: `istanbul-lib-source-maps` implicit `else` crash edge case (#789),3
154,chore: release main (#788),3
154,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
155,fix: `istanbul-lib-source-maps` to preserve implicit `else` when sourcemaps are used (#706),3
156,chore: release main (#787),3
156,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
157,fix: allow use of importAttributes Babel parser plugin (#786),3
158,chore: release main (#780),3
158,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
159,fix: handle missing source map,3
160,chore: release main (#779),3
160,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
161,fix: correct CI check to properly release 5.0.1,3
162,chore: release main (#778),3
162,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
163,fix: correct CI badge in source-maps readme,3
164,chore: attempt yet again to fix publish (#775),3
165,chore: maybe fix release (#773),3
166,chore: release main (#772),3
166,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
167,chore: update GH Actions (#769),3
168,fix: use `allGeneratedPositionsFor` for more accurate source map transforms (#771),3
169,chore: release main (#770),3
169,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
170,refactor!: replace source-map with @jridgewell/trace-mapping (#685),1
171,fix: use `allGeneratedPositionsFor` for more accurate source map transforms (#768),3
171,See reasoning in https://github.com/istanbuljs/istanbuljs/pull/743#discussion_r1496887454 and https://github.com/istanbuljs/istanbuljs/pull/685#discussion_r887426322.,Non-conventional
171,This will enable us to switch to `TraceMap` without any test failures.,Non-conventional
172,chore: remove Greenkeeper badges (#767),3
173,chore: run CI on Node versions 18 and 20 as well (#744),3
174,chore: release main (#766),3
174,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
175,build: rename master to main (#765),4
175,Rename master branch to main.,Non-conventional
176,fix(ux): address bug with firefox event handling,3
176,Co-authored-by: Alex Ristich <alex.ristich@zalando.de>,Non-conventional
176,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
177,fix(deps): update deps addressing CVE-2023-45133,3
178,chore: release master (#755),3
178,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
179,fix: Proper data validation in findNearestContainer (#754),3
179,This prevents a thrown when the statement map needs to be processed for,Non-conventional
179,"container hits, because the statement map entries do not contain a ""loc""",Non-conventional
179,"field, they just have this inforation at the top level.",Non-conventional
179,Fix: #753,3
180,chore: release master (#752),3
180,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
181,docs,Non-conventional
182,13.1.0,Non-conventional
183,conditionally close modal and drawers,Non-conventional
184,conditionally close modal and drawers,Non-conventional
185,13.0.1,Non-conventional
186,modal open prop,Non-conventional
187,modal open prop,Non-conventional
188,formatting and docs,Non-conventional
189,13.0.0,Non-conventional
190,test,Non-conventional
191,bump css,Non-conventional
192,12.1.1,Non-conventional
193,update deps,Non-conventional
194,12.1.0,Non-conventional
195,autocomplete fix,Non-conventional
196,12.0.5,Non-conventional
197,package json update,Non-conventional
198,12.0.4,Non-conventional
199,formatting,Non-conventional
200,formatting,Non-conventional
201,12.0.4,Non-conventional
202,tests,Non-conventional
203,update demo component with latest hljs,Non-conventional
203,update deps,Non-conventional
204,12.0.3,Non-conventional
205,update deps,Non-conventional
206,12.0.2,Non-conventional
207,update deps,Non-conventional
208,12.0.1,Non-conventional
209,update deps,Non-conventional
210,chore(deps): bump nth-check from 2.0.0 to 2.0.1 (#250),3
211,docs: add example for objects using ENV vars (#2436),3
211,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
212,docs: improve readme (#2440),3
213,fix(build): address problems with typescript compilation (#2445),3
214,fix: propagate Dictionary including undefined in value type (#2393),3
215,doc: switch legacy .argv to .parse() (#2346),Non-conventional
216,feat(locale): adds hebrew translation (#2357),0
217,chore(deps): update dependency @types/node to v20 (#2370),3
217,Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>,Non-conventional
218,docs: fix typos in .terminalWidth example (#2382),3
218,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
219,fix(build): update typescript / eslint / rollup deps fixing bundling of yargs (#2384),3
219,build(node)!: require Node >= 16.15.1,4
220,docs: missing return in usage builder function (#2328),3
221,fix: exit after async handler done (#2313),3
222,fix: coerce should play well with parser configuration (#2308),3
223,docs: Fix example of coerce (#2316),3
224,build: add watch run-script,4
225,chore(main): release 17.7.2 (#2323),3
225,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
226,fix: do not crash completion when having negated options (#2322),3
226,Current completion crashes when using ZSH and having negated options.,Non-conventional
227,chore(main): release 17.7.1 (#2304),3
227,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
228,fix: address display bug with default sub-commands (#2303),3
228,"Fixes #2291, #2247",Non-conventional
229,chore(main): release 17.7.0 (#2285),3
229,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
230,feat: convert line break to whitespace for the description of the option (#2271),0
230,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
231,test: mock additional hasColors method introduced in Node 16 (#2297),3
232,fix: copy the description of the option to its alias in completion (#2269),3
233,chore: add en strings for unknown command (#2262),3
233,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
234,feat: add method to hide option extras (#2156),0
235,build: pin npm version (#2284),4
236,chore(main): release 17.6.2 (#2260),3
236,Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>,Non-conventional
237,fix(lang): typo in Finnish unknown argument singular form (#2222),3
238,docs: add Typescript example for .terminalWidth() (#2224),3
238,Add example note of `.wrap()` method usage with `.terminalWidth()`.,Non-conventional
238,Ref: https://github.com/yargs/yargs/pull/165#issuecomment-1214959504,Non-conventional
