Raw Serial Number,Commit Message,DEMPE Function Class
69,refactor use upstream widgetisvisibleonallworkspaces,1
69,refactor use upstream widgetisvisibleonallworkspaces,1
69,chore add to breaking changes,3
70,refactor make urlpipeloader private,1
71,refactor add electronbrowsercontextbrowsercontexts,1
71,refactor add electronbrowsercontextbrowsercontexts,1
71,refactor use electronbrowsercontextbrowsercontexts in electronbrowsermainpartspostmainmessagelooprun,1
71,refactor use electronbrowsercontextbrowsercontexts in electronextensionsbrowserclientisvalidcontext,1
71,refactor use electronbrowsercontextbrowsercontexts in electronextensionsbrowserclientbroadcasteventtorenderers,1
71,refactor move partitionkey browsercontextmap private,1
71,refactor add electronbrowsercontextisvalidcontext,1
72,refactor use basenumbertostring,1
73,refactor remove tovisolate const char,1
74,fix apns token ids are lowercase ascii,3
75,fix webcontentsprint crash on linux,3
76,build combine pipewire patches,4
77,docs use optional chaining for appdock,3
77,docs use optional chaining for appdock,3
78,test disable paralleltestworkerresourcelimits,3
78,test disable paralleltestworkerresourcelimits,3
79,docs fix code example in breakingchangesmd,3
80,build fail for out of date patches on forks,4
81,chore bump chromium to main,3
81,chore bump chromium in deps to,3
81,chore bump chromium in deps to,3
81,chore update patches,3
81,build reorder setcookie step httpsgithubcomelectronelectronpull,4
82,test fix appdock for corrected type,3
82,test fix appdock for corrected type,3
83,docs fix types of appdock,3
84,build move set chromium cookie before build tools step,4
84,build move set cookie before build tools,4
85,refactor add electronbrowsercontextgetdefaultbrowsercontext,1
85,refactor add electronbrowsercontextdestroyallcontexts,1
85,refactor add electronbrowsercontextgetdefaultbrowsercontext,1
86,refactor use getdefaultstoragepartition instead of getstoragepartitionnullptr,1
86,refactor use getdefaultstoragepartition,1
87,fix warning in file picker ui,3
88,chore e patches all,3
89,perf avoid redundant map lookup in electronbrowsercontextfrom,1
89,perf avoid redundant map lookup in electronbrowsercontextfrompath,1
90,build fix compound bash conditional in patchup,4
94,chorereleaseprepare for next development iteration,3
95,chorereleaseprepare release uportalhomeparent,3
99,chorereleaseprepare for next development iteration,3
100,chorereleaseprepare release uportalhomeparent,3
103,chorereleaseprepare for next development iteration,3
104,chorereleaseprepare release uportalhomeparent,3
109,changelog style no end period in version number,2
111,chorereleaseprepare for next development iteration,3
112,chorereleaseprepare release uportalhomeparent,3
113,style address some eslint flagged issues in layoutservicesjs,2
114,style prefer angularjs log service over bare console log,2
115,style add trailing comma,2
116,style remove space after key,2
117,style remove space before function parens,2
118,style remove block padding,2
119,style shorten toolong lines,2
120,style prefer single quote rather than double quote,2
121,choredeps update actionscheckout action to v,3
122,docs add link to commitandtagversion as per,3
123,choremaster release,3
124,featdeprecated add deprecation message,0
125,fixdeps update dependency conventionalchangelogconventionalcommits to v,3
126,fixdeps update dependency conventionalchangelog to v,3
127,choremaster release,3
128,build run tests on label,4
129,feat add cjs config file,0
130,build update publish configuration,4
131,test updates gitignore test to check against a default package and bump file found in the gitignore,3
132,chore move to native fsaccess removes fsaccess package,3
133,fix ensures provided packagefiles arguments are merged with bumpfiles when no bumpfiles argument is specified default,3
134,choredeps update dependency eslintpluginpromise to v,3
135,test adds basic coverage for preset flag and changelog output,3
136,chore release,3
137,fixdeps update dependency conventionalchangelogconventionalcommits to v,3
138,choredeps update codecovcodecovaction action to v,3
139,chore release,3
140,fixupdater npm package locks inner version not being updated,3
141,chore release,3
142,feat add lernapackage flag used to extract tags in case of lerna repo,0
143,chore release,3
144,feat allows seperate prefixtag version sequences,0
145,docs improve documentation on providing an empty tagprefix,3
146,docs updated generate artifacts code snippet,3
147,chore updates nyc and moves to codecov,3
147,choredeps updates nyc and moves to codecov,3
147,chore adds codecov badge to readme,3
147,ci updates test matrix to include nodejs distributions across multiple os,4
148,chore release,3
149,fixdeps update dependency conventionalrecommendedbump to v,3
150,fixdeps update dependency yargs to v,3
151,chore switch to nondeprecated gh action,3
152,chore release main,3
153,fix istanbullibsourcemaps implicit else crash edge case,3
154,chore release main,3
155,fix istanbullibsourcemaps to preserve implicit else when sourcemaps are used,3
156,chore release main,3
157,fix allow use of importattributes babel parser plugin,3
158,chore release main,3
159,fix handle missing source map,3
160,chore release main,3
161,fix correct ci check to properly release,3
162,chore release main,3
163,fix correct ci badge in sourcemaps readme,3
164,chore attempt yet again to fix publish,3
165,chore maybe fix release,3
166,chore release main,3
167,chore update gh actions,3
168,fix use allgeneratedpositionsfor for more accurate source map transforms,3
169,chore release main,3
170,refactor replace sourcemap with jridgewelltracemapping,1
171,fix use allgeneratedpositionsfor for more accurate source map transforms,3
172,chore remove greenkeeper badges,3
173,chore run ci on node versions and as well,3
174,chore release main,3
175,build rename master to main,4
176,fixux address bug with firefox event handling,3
177,fixdeps update deps addressing cve,3
178,chore release master,3
179,fix proper data validation in findnearestcontainer,3
179,fix,3
180,chore release master,3
210,choredeps bump nthcheck from to,3
211,docs add example for objects using env vars,3
212,docs improve readme,3
213,fixbuild address problems with typescript compilation,3
214,fix propagate dictionary including undefined in value type,3
216,featlocale adds hebrew translation,0
217,choredeps update dependency typesnode to v,3
218,docs fix typos in terminalwidth example,3
219,fixbuild update typescript eslint rollup deps fixing bundling of yargs,3
219,buildnode require node,4
220,docs missing return in usage builder function,3
221,fix exit after async handler done,3
222,fix coerce should play well with parser configuration,3
223,docs fix example of coerce,3
224,build add watch runscript,4
225,choremain release,3
226,fix do not crash completion when having negated options,3
227,choremain release,3
228,fix address display bug with default subcommands,3
229,choremain release,3
230,feat convert line break to whitespace for the description of the option,0
231,test mock additional hascolors method introduced in node,3
232,fix copy the description of the option to its alias in completion,3
233,chore add en strings for unknown command,3
234,feat add method to hide option extras,0
235,build pin npm version,4
236,choremain release,3
237,fixlang typo in finnish unknown argument singular form,3
238,docs add typescript example for terminalwidth,3
239,docs add typescript example for terminalwidth,3
240,fixdeps update dependency yargsparser to v,3
